Area,Price
1155.58,4871433.0
2776.82,10850452.0
2134.14,8558046.0
820.23,3137637.0
1023.24,4236644.0
2259.7,9138914.0
811.14,3555804.0
1153.78,4462106.0
2007.21,7947895.0
2322.17,8995049.0
2234.31,8803971.0
1293.39,5286760.0
2366.79,9694274.0
1321.95,5011142.0
1515.88,6324399.0
2442.28,
2229.19,9040800.0
2668.29,11236205.0
2246.75,8754857.0
2050.28,7827719.0
1006.08,3490722.0
1608.97,6884712.0
1383.45,5730091.0
1336.78,5330433.0
2940.62,35539449.0
1664.81,6321613.0
2762.5,11783735.0
2188.5,8792786.0
2548.58,10227158.0
1905.8,7840936.0
2069.19,8421057.0
1883.54,7601321.0
1229.53,4680996.0
2389.39,9699019.0
1417.7,6235404.0
853.5,3817607.0
2220.04,9358112.0
1189.64,
2869.01,11179154.0
2898.64,11556835.0
2812.7,11267524.0
1614.35,
834.0,2828279.0
2842.3,
1742.01,6920618.0
2926.64,11578498.0
2919.96,11376224.0
2676.62,
1447.79,6038101.0
1647.22,6610855.0
2672.5,10303014.0
1497.23,5600390.0
1172.88,
2024.96,8600558.0
2859.54,11360285.0
2331.27,8874119.0
2054.13,8142815.0
1013.79,3973336.0
2153.02,
2978.12,35688555.0
1108.18,
1940.33,7970163.0
2730.22,11475570.0
2429.69,
2333.43,9253072.0
2345.46,9049902.0
1590.88,7135530.0
1445.9,5801374.0
2580.59,10326557.0
2582.25,10321760.0
2707.56,10889662.0
2809.13,11193209.0
1924.95,7527715.0
1903.34,
2556.25,10215172.0
2229.92,8756655.0
2344.33,9163455.0
2550.74,10234905.0
2758.01,10955554.0
1543.59,
1626.28,5709839.0
1006.76,4354493.0
2072.22,8662691.0
879.07,2894275.0
1824.32,7194456.0
1993.82,7863841.0
1430.39,5299310.0
2099.83,8165988.0
867.1,
882.17,4054345.0
2609.72,10719588.0
1592.42,6751144.0
1079.53,4534634.0
1948.94,7457025.0
2493.99,9818587.0
1274.81,5246037.0
2170.36,
987.76,4164957.0
913.7,3582702.0
1968.98,7763475.0
1989.4,8170877.0
2202.35,8942662.0
2397.4,9481314.0
2946.87,12135297.0
1935.86,7419124.0
1510.5,6226798.0
2549.41,10375569.0
1395.83,5490460.0
1765.74,7160788.0
972.6,3515082.0
855.77,
2917.83,11615835.0
2639.16,10399808.0
2331.14,9639276.0
1699.7,6587483.0
1181.25,
1144.16,4109657.0
1350.53,5583940.0
2008.3,7649066.0
2372.11,10014882.0
2252.43,8385158.0
1415.85,6172355.0
2900.7,11666120.0
2423.37,9664479.0
2019.58,7914840.0
2145.79,8702883.0
1723.12,6881190.0
1345.01,
1583.14,6366828.0
2467.26,9914136.0
831.67,3217579.0
1055.36,4204356.0
901.21,3697164.0
889.6,3045363.0
2682.01,10323598.0
2348.05,9615168.0
1843.18,7423989.0
1015.24,
1881.55,7531750.0
1841.64,7470826.0
1181.04,4562249.0
1754.47,6784403.0
1676.71,6765595.0
2154.87,
2197.21,8911300.0
899.67,3087900.0
1624.15,6805338.0
2176.89,8849347.0
1906.9,7704408.0
2684.28,11031918.0
2249.13,9496146.0
1158.46,4938134.0
955.25,3268743.0
2213.32,8469417.0
858.32,3245854.0
2088.71,
2868.51,11629324.0
2066.04,8046450.0
1653.97,6671925.0
2215.23,
1808.16,7049170.0
2000.36,7579429.0
2871.22,11207920.0
1649.43,6192198.0
2914.62,11365715.0
2791.77,11483178.0
1230.74,4638142.0
952.59,4600094.0
1021.71,4234842.0
840.09,3415803.0
1007.77,3773591.0
2302.61,9420553.0
956.62,3653769.0
1501.75,6043588.0
2658.73,11402928.0
851.2,3375975.0
2591.83,10712105.0
1420.08,5469369.0
1059.96,4229354.0
2332.82,9862527.0
2183.67,
2730.44,11465488.0
2417.16,9880951.0
2567.66,10101892.0
1420.48,5871627.0
1190.37,5053234.0
2451.35,9991953.0
2575.04,9829078.0
2979.11,11698304.0
1707.76,6756780.0
1618.44,6451429.0
2508.11,10218636.0
1549.77,6252381.0
2847.67,10990061.0
2688.51,10868092.0
1743.79,7158323.0
2451.92,9975603.0
2459.99,10164212.0
1026.87,4357667.0
2785.62,11280220.0
1911.56,7625171.0
2618.21,9974537.0
1504.11,6145322.0
2770.15,11142911.0
1656.24,6706448.0
823.84,
2791.84,10843044.0
1000.83,
1502.49,5998093.0
2890.14,11764996.0
2891.34,
2061.56,8255180.0
2190.04,9041653.0
1786.58,6991507.0
1445.06,5809091.0
1523.06,5953565.0
2279.54,8987814.0
2455.22,9728144.0
2541.47,10232536.0
2537.16,10005015.0
1000.65,4379341.0
1887.72,7282516.0
926.63,3650456.0
2008.96,7903935.0
1771.37,7519562.0
2752.95,11070763.0
1572.01,6597605.0
1057.55,
1114.58,4538442.0
2475.32,10168183.0
2160.08,8665004.0
1022.47,4409524.0
985.03,3784953.0
2342.13,
960.08,4529984.0
2608.09,
2353.73,9281281.0
978.97,4351885.0
986.64,4420444.0
2970.61,11725570.0
1623.4,6367527.0
1615.41,6377116.0
2588.16,9949301.0
2883.95,11260192.0
2969.2,11575567.0
2457.43,9599389.0
1627.77,6500679.0
983.7,4005071.0
2509.72,
2028.49,7814451.0
1733.29,7228450.0
2793.98,11111722.0
1044.63,4163699.0
1883.78,7737547.0
824.98,2963095.0
1831.05,7438937.0
923.87,3745404.0
1061.4,4393333.0
1058.56,4320982.0
2228.26,9649641.0
2441.3,9573873.0
2083.41,8174346.0
2916.78,11480176.0
1624.72,6332218.0
1428.57,5523050.0
2710.92,11200377.0
1291.91,5593795.0
2919.09,11505134.0
826.74,3057253.0
2933.73,11876358.0
894.95,3414140.0
2760.51,11231939.0
1960.94,7904647.0
2984.52,11483367.0
962.35,4313661.0
2018.48,8612681.0
2932.47,11546026.0
1950.82,7686951.0
2184.68,8824468.0
2330.65,9422926.0
1799.99,7397525.0
2180.63,9325572.0
2085.49,8288882.0
2782.55,10890701.0
899.98,3186132.0
1418.12,5453197.0
2890.91,11553683.0
2758.58,11572689.0
1802.44,7054496.0
2164.29,
1410.24,5636028.0
1213.87,5211984.0
1820.14,8038626.0
1577.37,6150239.0
2084.04,8189342.0
971.02,4197313.0
2943.67,11979242.0
2969.66,12432667.0
